RaceID,Date,Year,Month,Day,RaceTitle,Venue,RaceNum,Distance,Condition,Name,Umaban,Popularity,Odds,Weight,OguraIndex,BattleScore,Status,SiteIndex,ScoreBaseOgura,ScoreTimeIndex,ScoreMakuri,ScoreTraining,ScoreWeight,ScoreBloodline,ActualRank,ResultOdds,Agari,Alert,AlertText,Predicted_Diff,Actual_Diff
https://race.netkeiba.com/odds/index.html?type=b7&race_id=202608020211&housiki=c99,2026/02/28,2026,2,28,,Unknown,99,,,エイシンフェンサー,13,5.0,5.0,,166.8,116.8,No Data,,116.8,0.0,0.0,0.0,0.0,0.0,11,5.0,33.7,🎯◎,,,
https://race.netkeiba.com/odds/index.html?type=b7&race_id=202608020211&housiki=c99,2026/02/28,2026,2,28,,Unknown,99,,,ビッグシーザー,9,7.0,7.0,,142.5,114.8,No Data,,99.8,0.0,0.0,0.0,0.0,0.0,12,7.0,32.9,🔥,,,
https://race.netkeiba.com/odds/index.html?type=b7&race_id=202608020211&housiki=c99,2026/02/28,2026,2,28,,Unknown,99,,,アブキールベイ,1,10.0,10.0,,163.0,114.1,No Data,,114.1,0.0,0.0,0.0,0.0,0.0,6,10.0,33.1,○,,,
https://race.netkeiba.com/odds/index.html?type=b7&race_id=202608020211&housiki=c99,2026/02/28,2026,2,28,,Unknown,99,,,ダノンマッキンリー,2,8.0,8.0,,149.5,104.6,No Data,,104.6,0.0,0.0,0.0,0.0,0.0,15,8.0,33.4,▲,,,
https://race.netkeiba.com/odds/index.html?type=b7&race_id=202608020211&housiki=c99,2026/02/28,2026,2,28,,Unknown,99,,,カルプスペルシュ,4,2.0,2.0,,119.0,98.3,No Data,,83.3,0.0,0.0,0.0,0.0,0.0,4,2.0,33.3,,,,
https://race.netkeiba.com/odds/index.html?type=b7&race_id=202608020211&housiki=c99,2026/02/28,2026,2,28,,Unknown,99,,,エーティーマクフィ,12,4.0,4.0,,138.8,97.2,No Data,,97.2,0.0,0.0,0.0,0.0,0.0,8,4.0,33.5,,,,
https://race.netkeiba.com/odds/index.html?type=b7&race_id=202608020211&housiki=c99,2026/02/28,2026,2,28,,Unknown,99,,,ロードフォアエース,16,1.0,1.0,,106.4,89.5,No Data,,74.5,0.0,0.0,0.0,0.0,0.0,9,1.0,33.9,,,,
https://race.netkeiba.com/odds/index.html?type=b7&race_id=202608020211&housiki=c99,2026/02/28,2026,2,28,,Unknown,99,,,ヤマニンアルリフラ,6,9.0,9.0,,126.0,88.2,No Data,,88.2,0.0,0.0,0.0,0.0,0.0,3,9.0,33.1,🚀,,,
https://race.netkeiba.com/odds/index.html?type=b7&race_id=202608020211&housiki=c99,2026/02/28,2026,2,28,,Unknown,99,,,レイピア,17,6.0,6.0,,124.8,87.4,No Data,,87.4,0.0,0.0,0.0,0.0,0.0,2,6.0,33.2,,,,
https://race.netkeiba.com/odds/index.html?type=b7&race_id=202608020211&housiki=c99,2026/02/28,2026,2,28,,Unknown,99,,,アルテヴェローチェ,3,15.0,15.0,,116.0,81.2,No Data,,81.2,0.0,0.0,0.0,0.0,0.0,13,15.0,33.0,🔥,,,
https://race.netkeiba.com/odds/index.html?type=b7&race_id=202608020211&housiki=c99,2026/02/28,2026,2,28,,Unknown,99,,,フィオライア,14,16.0,16.0,,89.2,77.4,No Data,,62.4,0.0,0.0,0.0,0.0,0.0,1,16.0,33.5,🔥,,,
https://race.netkeiba.com/odds/index.html?type=b7&race_id=202608020211&housiki=c99,2026/02/28,2026,2,28,,Unknown,99,,,ヤブサメ,11,3.0,3.0,,104.0,72.8,No Data,,72.8,0.0,0.0,0.0,0.0,0.0,5,3.0,32.8,,,,
https://race.netkeiba.com/odds/index.html?type=b7&race_id=202608020211&housiki=c99,2026/02/28,2026,2,28,,Unknown,99,,,イコサン,8,12.0,12.0,,98.8,69.2,No Data,,69.2,0.0,0.0,0.0,0.0,0.0,7,12.0,33.6,💀,,,
https://race.netkeiba.com/odds/index.html?type=b7&race_id=202608020211&housiki=c99,2026/02/28,2026,2,28,,Unknown,99,,,エコロレジーナ,18,14.0,14.0,,94.2,65.9,No Data,,65.9,0.0,0.0,0.0,0.0,0.0,17,14.0,33.6,💀,,,
https://race.netkeiba.com/odds/index.html?type=b7&race_id=202608020211&housiki=c99,2026/02/28,2026,2,28,,Unknown,99,,,ウインアイオライト,5,13.0,13.0,,71.8,65.3,No Data,,50.3,0.0,0.0,0.0,0.0,0.0,14,13.0,33.4,💀,,,
https://race.netkeiba.com/odds/index.html?type=b7&race_id=202608020211&housiki=c99,2026/02/28,2026,2,28,,Unknown,99,,,ナムラアトム,10,11.0,11.0,,87.8,61.5,No Data,,61.5,0.0,0.0,0.0,0.0,0.0,10,11.0,32.6,💀,,,
https://race.netkeiba.com/odds/index.html?type=b7&race_id=202608020211&housiki=c99,2026/02/28,2026,2,28,,Unknown,99,,,カリボール,15,18.0,18.0,,65.6,45.9,No Data,,45.9,0.0,0.0,0.0,0.0,0.0,18,18.0,33.4,💣,,,
https://race.netkeiba.com/odds/index.html?type=b7&race_id=202608020211&housiki=c99,2026/02/28,2026,2,28,,Unknown,99,,,オタルエバー,7,17.0,17.0,,53.8,37.7,No Data,,37.7,0.0,0.0,0.0,0.0,0.0,16,17.0,33.7,💣,,,
202504020107,2026/02/28,2026,2,28,,Unknown,7,,,ワールズエンド,6,1.0,1.0,,112.0,93.4,No Data,,78.4,0.0,0.0,0.0,0.0,0.0,1,1.0,33.2,🎯◎,,,
202504020107,2026/02/28,2026,2,28,,Unknown,7,,,ヤマニンアドホック,1,6.0,6.0,,104.0,87.8,No Data,,72.8,0.0,0.0,0.0,0.0,0.0,5,6.0,33.6,○,,,
202504020107,2026/02/28,2026,2,28,,Unknown,7,,,イサチルシーサイド,3,3.0,3.0,,90.0,78.0,No Data,,63.0,0.0,0.0,0.0,0.0,0.0,7,3.0,34.1,▲,,,
202504020107,2026/02/28,2026,2,28,,Unknown,7,,,ペリファーニア,4,2.0,2.0,,86.0,75.2,No Data,,60.2,0.0,0.0,0.0,0.0,0.0,2,2.0,33.7,,,,
202504020107,2026/02/28,2026,2,28,,Unknown,7,,,アクートゥス,10,9.0,9.0,,80.0,56.0,No Data,,56.0,0.0,0.0,0.0,0.0,0.0,3,9.0,33.3,💀,,,
202504020107,2026/02/28,2026,2,28,,Unknown,7,,,アームテイル,7,5.0,5.0,,75.0,52.5,No Data,,52.5,0.0,0.0,0.0,0.0,0.0,4,5.0,33.6,,,,
202504020107,2026/02/28,2026,2,28,,Unknown,7,,,メイショウウネビ,5,10.0,10.0,,68.0,47.6,No Data,,47.6,0.0,0.0,0.0,0.0,0.0,8,10.0,33.4,💣,,,
202504020107,2026/02/28,2026,2,28,,Unknown,7,,,ユキマル,8,4.0,4.0,,65.0,45.5,No Data,,45.5,0.0,0.0,0.0,0.0,0.0,6,4.0,33.1,,,,
202504020107,2026/02/28,2026,2,28,,Unknown,7,,,ランドオブラヴ,2,8.0,8.0,,56.0,39.2,No Data,,39.2,0.0,0.0,0.0,0.0,0.0,9,8.0,34.0,,,,
202504020107,2026/02/28,2026,2,28,,Unknown,7,,,ベンダバリラビア,9,7.0,7.0,,53.0,37.1,No Data,,37.1,0.0,0.0,0.0,0.0,0.0,10,7.0,36.4,,,,
